tiempo_id,fecha,dia,mes,año,trimestre,semana
94,25/05/2024,25,5,2024,2,22
95,15/06/2024,15,6,2024,2,25
96,29/10/2024,29,10,2024,4,44
97,15/01/2025,15,1,2025,1,3
98,14/03/2025,14,3,2025,1,11
99,05/08/2024,5,8,2024,3,32
100,22/11/2024,22,11,2024,4,47
101,20/02/2025,20,2,2025,1,9
102,15/02/2025,15,2,2025,1,8
103,15/10/2024,15,10,2024,4,42
104,15/05/2024,15,5,2024,2,20
105,30/10/2024,30,10,2024,4,44
106,21/08/2024,21,8,2024,3,34
107,05/01/2025,5,1,2025,1,2
108,16/11/2024,16,11,2024,4,46
109,10/03/2025,10,3,2025,1,11
110,26/07/2024,26,7,2024,3,30
111,08/11/2024,8,11,2024,4,45
112,22/07/2024,22,7,2024,3,30
113,29/11/2024,29,11,2024,4,48
114,16/05/2024,16,5,2024,2,20
115,22/03/2025,22,3,2025,1,12
116,26/04/2024,26,4,2024,2,17
117,13/06/2024,13,6,2024,2,24
118,09/08/2024,9,8,2024,3,32
119,24/01/2025,24,1,2025,1,4
120,06/09/2024,6,9,2024,3,36
121,17/06/2024,17,6,2024,2,25
122,20/08/2024,20,8,2024,3,34
123,15/02/2025,15,2,2025,1,8
124,20/01/2025,20,1,2025,1,4
125,27/12/2024,27,12,2024,4,52
126,08/02/2025,8,2,2025,1,7
127,31/10/2024,31,10,2024,4,44
128,08/11/2024,8,11,2024,4,45
129,24/11/2024,24,11,2024,4,47
130,16/03/2025,16,3,2025,1,12
131,03/03/2025,3,3,2025,1,10
132,11/09/2024,11,9,2024,3,37
133,10/10/2024,10,10,2024,4,41
134,24/11/2024,24,11,2024,4,47
135,27/05/2024,27,5,2024,2,22
136,17/07/2024,17,7,2024,3,29
137,11/04/2024,11,4,2024,2,15
138,30/12/2024,30,12,2024,4,53
139,24/10/2024,24,10,2024,4,43
140,09/01/2025,9,1,2025,1,2
141,07/06/2024,7,6,2024,2,23
142,19/12/2024,19,12,2024,4,51
143,27/05/2024,27,5,2024,2,22
144,02/06/2024,2,6,2024,2,23
145,02/09/2024,2,9,2024,3,36
146,14/11/2024,14,11,2024,4,46
147,18/01/2025,18,1,2025,1,4
148,20/07/2024,20,7,2024,3,30
149,28/04/2024,28,4,2024,2,18
150,30/03/2025,30,3,2025,1,14
151,14/01/2025,14,1,2025,1,3
152,12/12/2024,12,12,2024,4,50
153,29/08/2024,29,8,2024,3,35
154,07/01/2025,7,1,2025,1,2
155,03/02/2025,3,2,2025,1,6
156,13/07/2024,13,7,2024,3,28
157,27/12/2024,27,12,2024,4,52
158,30/11/2024,30,11,2024,4,48
159,17/09/2024,17,9,2024,3,38
160,07/01/2025,7,1,2025,1,2
161,02/10/2024,2,10,2024,4,40
162,18/06/2024,18,6,2024,2,25
163,25/09/2024,25,9,2024,3,39
164,23/08/2024,23,8,2024,3,34
165,12/02/2025,12,2,2025,1,7
166,07/10/2024,7,10,2024,4,41
167,20/10/2024,20,10,2024,4,43
168,28/07/2024,28,7,2024,3,30
169,24/07/2024,24,7,2024,3,30
170,21/09/2024,21,9,2024,3,38
171,27/10/2024,27,10,2024,4,44
172,08/04/2025,8,4,2025,2,15
173,12/01/2025,12,1,2025,1,3
174,16/03/2025,16,3,2025,1,12
175,01/04/2025,1,4,2025,2,14
176,18/02/2025,18,2,2025,1,8
177,05/07/2024,5,7,2024,3,27
178,04/08/2024,4,8,2024,3,32
179,10/12/2024,10,12,2024,4,50
180,07/03/2025,7,3,2025,1,10
181,11/05/2024,11,5,2024,2,20
182,04/08/2024,4,8,2024,3,32
183,12/09/2024,12,9,2024,3,37
184,01/02/2025,1,2,2025,1,5
185,07/08/2024,7,8,2024,3,32
186,02/03/2025,2,3,2025,1,10
187,13/05/2024,13,5,2024,2,20
188,10/12/2024,10,12,2024,4,50
189,08/05/2024,8,5,2024,2,19
190,07/05/2024,7,5,2024,2,19
191,16/01/2025,16,1,2025,1,3
192,10/07/2024,10,7,2024,3,28
193,14/05/2024,14,5,2024,2,20
194,11/06/2024,11,6,2024,2,24
195,17/11/2024,17,11,2024,4,46
196,30/04/2024,30,4,2024,2,18
197,10/05/2024,10,5,2024,2,20
198,21/01/2025,21,1,2025,1,4
199,28/07/2024,28,7,2024,3,30
200,09/11/2024,9,11,2024,4,45
201,04/04/2025,4,4,2025,2,14
202,16/10/2024,16,10,2024,4,42
203,15/02/2025,15,2,2025,1,8
204,13/03/2025,13,3,2025,1,11
205,12/04/2024,12,4,2024,2,15
206,19/09/2024,19,9,2024,3,38
207,26/12/2024,26,12,2024,4,52
208,22/10/2024,22,10,2024,4,43
209,05/04/2025,5,4,2025,2,14
210,16/01/2025,16,1,2025,1,3
211,30/05/2024,30,5,2024,2,22
212,11/10/2024,11,10,2024,4,41
213,18/10/2024,18,10,2024,4,42
214,25/10/2024,25,10,2024,4,43
215,30/12/2024,30,12,2024,4,53
216,26/12/2024,26,12,2024,4,52
217,18/03/2025,18,3,2025,1,12
218,31/10/2024,31,10,2024,4,44
219,04/01/2025,4,1,2025,1,1
220,26/05/2024,26,5,2024,2,22
221,12/09/2024,12,9,2024,3,37
222,13/04/2024,13,4,2024,2,15
223,03/12/2024,3,12,2024,4,49
224,20/06/2024,20,6,2024,2,25
225,27/03/2025,27,3,2025,1,13
226,24/02/2025,24,2,2025,1,9
227,22/01/2025,22,1,2025,1,4
228,10/04/2024,10,4,2024,2,15
229,10/01/2025,10,1,2025,1,2
230,20/09/2024,20,9,2024,3,38
231,05/01/2025,5,1,2025,1,1
232,01/11/2024,1,11,2024,4,44
233,24/01/2025,24,1,2025,1,4
234,20/08/2024,20,8,2024,3,34
235,11/07/2024,11,7,2024,3,28
236,19/01/2025,19,1,2025,1,4
237,20/12/2024,20,12,2024,4,51
238,31/03/2025,31,3,2025,1,14
239,21/02/2025,21,2,2025,1,9
