interaction_id,cliente_id,canal_id,product_id,campaign_id,dispositivo_id,region_id,tiempo_id,clics,conversiones,ingresos_generados,duracion_sesion
170,395,1,4,5,5,4,48,4,0,0.00,129
171,276,8,7,12,3,1,174,5,1,45.20,308
172,131,3,2,3,1,3,121,1,0,0.00,112
173,485,7,8,8,4,2,235,2,1,88.25,492
174,186,5,3,11,2,4,75,3,0,0.00,126
175,439,2,5,6,5,1,144,4,1,61.95,382
176,104,10,1,13,3,3,202,5,0,0.00,92
177,377,4,9,2,1,2,54,1,1,75.50,434
178,250,9,6,9,4,4,177,2,0,0.00,116
179,56,6,4,4,2,1,127,3,1,53.05,355
180,416,1,8,10,5,3,60,4,0,0.00,81
181,297,8,3,14,3,2,215,5,1,67.70,404
182,144,3,5,7,1,4,110,1,0,0.00,77
183,497,7,7,5,4,1,37,2,1,60.50,366
184,172,5,2,12,2,3,184,3,0,0.00,122
185,358,2,9,1,5,2,99,4,1,83.25,467
186,82,10,4,8,3,4,216,5,0,0.00,180
187,469,4,6,11,1,1,139,1,1,52.10,337
188,230,9,1,6,4,3,82,2,0,0.00,104
189,57,6,8,13,2,2,192,3,1,74.55,425
190,396,1,5,9,5,4,47,4,0,0.00,128
191,277,8,3,2,3,1,175,5,1,46.40,310
192,132,3,7,10,1,3,120,1,0,0.00,111
193,486,7,9,4,4,2,234,2,1,89.45,490
194,187,5,4,14,2,4,74,3,0,0.00,125
195,440,2,6,3,5,1,143,4,1,63.15,384
196,105,10,2,12,3,3,201,5,0,0.00,91
197,378,4,8,7,1,2,53,1,1,76.70,436
198,251,9,5,8,4,4,176,2,0,0.00,115
199,55,6,7,5,2,1,126,3,1,54.25,357
200,415,1,9,11,5,3,59,4,0,0.00,80
201,298,8,4,6,3,2,216,5,1,68.90,406
202,145,3,6,13,1,4,109,1,0,0.00,76
203,496,7,3,9,4,1,36,2,1,61.70,368
204,173,5,1,1,2,3,183,3,0,0.00,121
205,359,2,8,10,5,2,98,4,1,84.45,469
206,81,10,5,4,3,4,215,5,0,0.00,179
207,470,4,7,14,1,1,138,1,1,53.30,339
208,231,9,2,7,4,3,81,2,0,0.00,103
209,56,6,9,5,2,2,191,3,1,75.75,427
210,397,1,6,12,5,4,46,4,0,0.00,127
211,278,8,4,3,3,1,176,5,1,47.60,312
212,133,3,8,8,1,3,119,1,0,0.00,110
213,487,7,5,11,4,2,233,2,1,90.65,488
214,188,5,7,2,2,4,73,3,0,0.00,124
215,441,2,9,13,5,1,142,4,1,64.35,386
216,106,10,3,9,3,3,200,5,0,0.00,90
217,379,4,6,6,1,2,52,1,1,77.90,438
218,252,9,4,4,4,4,175,2,0,0.00,114
219,54,6,8,14,2,1,125,3,1,55.45,359
220,414,1,5,10,5,3,58,4,0,0.00,79
221,299,8,7,7,3,2,217,5,1,70.10,408
222,146,3,9,5,1,4,108,1,0,0.00,75
223,495,7,4,12,4,1,35,2,1,62.90,370
224,174,5,2,1,2,3,182,3,0,0.00,120
225,360,2,9,8,5,2,97,4,1,85.65,471
226,80,10,6,3,3,4,214,5,0,0.00,178
227,471,4,8,13,1,1,137,1,1,54.50,341
228,232,9,3,6,4,3,80,2,0,0.00,102
229,55,6,5,9,2,2,190,3,1,76.95,429
230,398,1,7,2,5,4,45,4,0,0.00,126
231,279,8,5,10,3,1,177,5,1,48.80,314
232,134,3,9,4,1,3,118,1,0,0.00,109
233,488,7,6,14,4,2,232,2,1,91.85,486
234,189,5,8,7,2,4,72,3,0,0.00,123
235,442,2,4,5,5,1,141,4,1,65.55,388
236,107,10,1,11,3,3,199,5,0,0.00,89
237,380,4,7,3,1,2,51,1,1,79.10,440
238,253,9,5,12,4,4,174,2,0,0.00,113
239,53,6,9,8,2,1,124,3,1,56.65,361
240,413,1,6,6,5,3,57,4,0,0.00,78
241,300,8,8,9,3,2,218,5,1,71.30,410
242,147,3,4,13,1,4,107,1,0,0.00,74
243,494,7,3,1,4,1,34,2,1,64.10,372
244,175,5,1,10,2,3,181,3,0,0.00,119
245,361,2,7,4,5,2,96,4,1,86.85,473
246,79,10,5,2,3,4,213,5,0,0.00,177
247,472,4,9,5,1,1,136,1,1,55.70,343
248,233,9,2,14,4,3,79,2,0,0.00,101
249,54,6,6,7,2,2,189,3,1,78.15,431
250,399,1,8,3,5,4,44,4,0,0.00,125
251,280,8,6,8,3,1,178,5,1,50.00,316
252,135,3,7,11,1,3,117,1,0,0.00,108
253,489,7,5,6,4,2,231,2,1,93.05,484
254,190,5,9,9,2,4,71,3,0,0.00,122
255,443,2,3,12,5,1,140,4,1,66.75,390
256,108,10,1,1,3,3,198,5,0,0.00,88
257,381,4,8,10,1,2,50,1,1,80.30,442
258,254,9,4,4,4,4,173,2,0,0.00,112
259,52,6,7,14,2,1,123,3,1,57.85,363
260,412,1,5,5,5,3,56,4,0,0.00,77
261,301,8,9,7,3,2,219,5,1,72.50,412
262,148,3,2,2,1,4,106,1,0,0.00,73
263,493,7,1,13,4,1,33,2,1,65.30,374
264,176,5,8,8,2,3,180,3,0,0.00,118
265,362,2,6,3,5,2,95,4,1,88.05,475
266,78,10,4,11,3,4,212,5,0,0.00,176
267,473,4,7,6,1,1,135,1,1,56.90,345
268,234,9,3,9,4,3,78,2,0,0.00,100
269,53,6,5,10,2,2,188,3,1,79.35,433
270,400,1,9,1,5,4,43,4,0,0.00,124
271,281,8,7,12,3,1,179,5,1,51.20,318
272,136,3,6,4,1,3,116,1,0,0.00,107
273,490,7,4,14,4,2,230,2,1,94.25,482
274,191,5,8,5,2,4,70,3,0,0.00,121
275,444,2,1,7,5,1,139,4,1,67.95,392
276,109,10,2,13,3,3,197,5,0,0.00,87
277,382,4,9,2,1,2,49,1,1,81.50,444
278,255,9,5,11,4,4,172,2,0,0.00,111
279,51,6,6,6,2,1,122,3,1,59.05,365
280,411,1,7,9,5,3,55,4,0,0.00,76
281,302,8,3,3,3,2,220,5,1,73.70,414
282,149,3,1,10,1,4,105,1,0,0.00,72
283,492,7,8,8,4,1,32,2,1,66.50,376
284,177,5,9,4,2,3,179,3,0,0.00,117
285,363,2,5,12,5,2,94,4,1,89.25,477
286,77,10,3,1,3,4,211,5,0,0.00,175
287,474,4,6,13,1,1,134,1,1,58.10,347
288,235,9,2,7,4,3,77,2,0,0.00,99
289,52,6,4,5,2,2,187,3,1,80.55,435
290,401,1,8,14,5,4,42,4,0,0.00,123
291,282,8,9,6,3,1,180,5,1,52.40,320
292,137,3,5,2,1,3,115,1,0,0.00,106
293,491,7,3,9,4,2,229,2,1,95.45,480
294,192,5,7,11,2,4,69,3,0,0.00,120
295,445,2,1,3,5,1,138,4,1,69.15,394
296,110,10,2,5,3,3,196,5,0,0.00,86
297,383,4,6,10,1,2,48,1,1,82.70,446
298,256,9,4,4,4,4,171,2,0,0.00,110
299,50,6,7,14,2,1,121,3,1,60.25,367
300,410,1,9,7,5,3,54,4,0,0.00,75
